videoId,permalink_url_y,title,message,post_created_time,Primary_Category_1,Secondary_Category_1_revisited,Video_Type_1,Tags,visual_first_3_seconds,voice_first_3_seconds,background_music_type_first_3_seconds,thumbnail,thumbnail_Sentiment,seven_day_views
2484588508485391,https://www.facebook.com/1954072204870360/posts/2484588508485391/,"All You Need to Know About Lord Ram's Birthplace, Ayodhya",अयोध्या में राम जन्मभूमि की पूरी जानकारी,2019-11-05 20:35:15,Places,"Religion, Facts, History",Informative,not editable,Crowd,text only (to),relevant,Heritage,Neutral ,66129.0
2485225338421708,https://www.facebook.com/1954072204870360/posts/2485225338421708/,'Health ATM' Installed At Lucknow Railway Station,क्या है लखनऊ रेलवे स्टेशन पर लगा हेल्थ एटीएम?,2019-11-10 10:00:15,Technology & Innovations,Health,Informative,"Health Care Industry, Uttar Pradesh, Senior & Geriatric Health, Lucknow, Uttar Pradesh, Men's Health, Health ATM, Health Checkup, Yogi Adityanath",Crowd,text only (to),loud,Commoner,Neutral ,6506.0
2485514271726148,https://www.facebook.com/1954072204870360/posts/2485514271726148/,CV Raman - First Asian To Be Conferred With Nobel Prize In Physics,"सीवी रमन, जिनकी खोज का प्रभाव बदलते वक्त के साथ और भी गहरा होता जा रहा है

(via NEWJ Garv)",2019-11-07 08:00:15,Education,"Award/Achievement, History, Famous Personality",Inspiring,"Chandra X-ray Observatory, Particle Physics, CV Raman, Chandrashekhar Ventaraman, Raman Effect, Light Scattering, Physics, Nobel Prize",famous personality (fp),voice over (vo),relevant,Famous Personality,Happy ,9606.0
2499780270299548,https://www.facebook.com/1954072204870360/posts/2499780270299548/,CV Raman - First Asian To Be Conferred With Nobel Prize In Physics,"विज्ञान के क्षेत्र में नोबेल पुरस्कार से सम्मानित पहले एशियाई सीवी रमन  ने आज दुनिया को कहा था अलविदा

(via NEWJ Garv)",2019-11-21 12:00:15,Education,"Award/Achievement, History, Famous Personality",Inspiring,"Chandra X-ray Observatory, Particle Physics, CV Raman, Chandrashekhar Ventaraman, Raman Effect, Light Scattering, Physics, Nobel Prize",famous personality (fp),voice over (vo),relevant,Famous Personality,Happy ,6827.0
2484367385174170,https://www.facebook.com/1954072204870360/posts/2484367385174170/,India Steps Back From RCEP,भारत ने क्यों बनाई 16 देशों के आरसीईपी समझौते से दूरी?,2019-11-05 16:35:15,Global News,"News, Economy/Economic",Informative,"China, RCEP, Trade, Relation, Loss, Trade relations",famous personality (fp),text only (to),neutral,Famous Personality,Happy ,4405.0
2485168081760767,https://www.facebook.com/1954072204870360/posts/2485168081760767/,Incessant Rains Cause Massive Crop Damage In Maharashtra,भारी बारिश ने किया किसानों का बुरा हाल,2019-11-06 12:05:15,Environment/Ecosystem,"News, crisis",Concerning,"Farmers' Markets & Farm Stands, Rainfall, Heavy rainfall in Maharashtra, Aurangabad, Marathwada, Floods, Crop Damage, Farmers",other,text only (to),relevant,Other,Neutral ,2918.0
2484290825181826,https://www.facebook.com/1954072204870360/posts/2484290825181826/,Bharat Ratna Bhupen Hazarika,"संगीत के क्षेत्र में अमर नाम भारत रत्न भपूेन हजारिका ने आज दुनिया को कहा था अलविदा

(via NEWJ Garv)",2019-11-05 14:00:15,Entertainment,"Music, Award/Achievement, Famous Personality",Profile,"Music Industry, bhupen hazarika, singer, bharat ratna, anniversary",famous personality (fp),voice over (vo),relevant,Famous Personality,Happy ,9966.0
2484379568506285,https://www.facebook.com/1954072204870360/posts/2484379568506285/,Solutions To Strengthen Your Buddh Grah,"कौन से हैं वो उपाय जिनसे मजबूत होता है बुध ग्रह

(via NEWJ Dharohar)",2019-11-06 08:05:15,Lifestyle,Religion,Self-help,"Buddh grah, Strength, solution, intelligent, Success",other,other,relevant,Famous Personality,Happy ,2900.0
2491012354509673,https://www.facebook.com/1954072204870360/posts/2491012354509673/,Remembering The 'Bird Man Of India' Salim Ali,"कौन थे सलीम अली, जिन्हें कहा जाता है बर्ड मैन ऑफ इंडिया?",2019-11-12 12:55:15,Environment/Ecosystem,"Animals , Famous Personality",Informative,not editable,famous personality (fp),text only (to),relevant,Famous Personality,Happy ,46550.0
2483539031923672,https://www.facebook.com/1954072204870360/posts/2483539031923672/,King Kohli Turns 31,टीम इंडिया की रन मशीन और सफल कप्तान विराट कोहली का आज है जन्मदिन,2019-11-05 10:00:15,Sports & Games,"Cricket, Famous Personality","Day-specific, Profile","Test Cricket & First-Class Cricket, Cricket, Virat Kohli, King Kohli, Run machine, Team India, IPL, RCB",famous personality (fp),text only (to),loud,Famous Personality,Proud,5718.0
