visual_first_3_seconds,voice_first_3_seconds,background_music_type_first_3_seconds,seven_day_views,year,quarter,month,target,last_day_tags,Primary_Category_1_grouped,Video_Type_1_1_final,Video_Type_1_2_final,voice_first_3_seconds_grouped,thumbnail_1_grouped,thumbnail_sentiment_1_grouped,thumbnail_sentiment_2_grouped,time_distribution,date
commoner (np),text only (to),relevant,3961,2019,4,12,low,tags,rare,rare,inspiring,text only (to),commoner,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-12-13
other,voice over (vo),relevant,437,2019,4,10,low,tags,lifestyle,rare,no_video_type_1,rare,rare,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-26
crowd,text only (to),low,552120,2019,4,10,high,tags,judiciary & crime,day-specific,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,9 PM - 12 AM,2019-10-30
crowd,text only (to),relevant,2305,2019,4,11,low,not_editable,sports & games,rare,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-11-03
crowd,text only (to),relevant,2138,2019,4,11,low,tags,sports & games,rare,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-11-22
commoner (np),text only (to),low,4772,2019,4,10,low,tags,global news,informative,no_video_type_1,text only (to),crowd,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-30
famous personality (fp),text only (to),relevant,15793,2019,4,11,low,tags,sports & games,day-specific,rare,text only (to),famous personality,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-11-01
crowd,text only (to),relevant,7143,2019,4,11,low,tags,environment/ecosystem,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-11-01
famous personality (fp),text only (to),low,2471,2019,4,10,low,tags,judiciary & crime,rare,no_video_type_1,text only (to),famous personality,rare,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-30
crowd,text only (to),relevant,14146,2019,4,10,low,tags,judiciary & crime,rare,no_video_type_1,text only (to),crowd,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-10-30
famous personality (fp),voice over (vo),relevant,7193,2019,4,10,low,tags,sports & games,day-specific,rare,rare,famous personality,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-29
crowd,text only (to),relevant,3494,2019,4,10,low,tags,politics,emotions,informative,text only (to),crowd,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-25
commoner (np),text only (to),relevant,4481,2019,4,10,low,tags,politics,emotions,informative,text only (to),crowd,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-25
crowd,voice over (vo),relevant,1775,2019,4,10,low,tags,politics,informative,no_video_type_1,rare,famous personality,neutral,no_thumbnail_sentiment,9 PM - 12 AM,2019-10-24
other,text only (to),loud,4559,2019,4,10,low,tags,lifestyle,rare,no_video_type_1,text only (to),crowd,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-25
other,text only (to),relevant,2157,2019,4,10,low,tags,lifestyle,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-27
crowd,text only (to),relevant,2932,2019,4,10,low,tags,politics,informative,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-24
crowd,text only (to),relevant,8452,2019,4,10,low,tags,politics,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-24
crowd,text only (to),relevant,5839,2019,4,10,low,tags,politics,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-24
famous personality (fp),text only (to),relevant,2626,2019,4,10,low,tags,politics,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-24
other,other,relevant,54470,2019,4,11,high,tags,places,informative,no_video_type_1,other,rare,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-11-22
crowd,text only (to),relevant,2010,2019,4,10,low,not_editable,rare,explainers,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-27
famous personality (fp),text only (to),relevant,1437,2019,4,10,low,tags,politics,rare,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-25
crowd,voice of famous personality (fpv),relevant,3496,2019,4,10,low,tags,politics,day-specific,rare,voice of famous personality (fpv),famous personality,rare,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-22
other,text only (to),relevant,15421,2019,4,10,low,tags,environment/ecosystem,rare,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-23
crowd,text only (to),loud,7595,2019,4,10,low,tags,government,informative,no_video_type_1,text only (to),crowd,rare,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-23
famous personality (fp),text only (to),relevant,1597,2019,4,10,low,tags,sports & games,rare,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-22
crowd,text only (to),relevant,5040,2019,4,10,low,tags,politics,explainers,no_video_type_1,text only (to),famous personality,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-22
other,text only (to),relevant,5857,2019,4,10,low,tags,politics,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 PM - 12 AM,2019-10-22
famous personality (fp),text only (to),relevant,3780,2019,4,10,low,tags,politics,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,9 PM - 12 AM,2019-10-21
commoner (np),text only (to),relevant,9143,2019,4,10,low,tags,global news,emotions,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-10-22
famous personality (fp),text only (to),relevant,3144,2019,4,10,low,tags,politics,rare,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-21
other,text only (to),relevant,13960,2019,4,10,low,tags,places,emotions,informative,text only (to),rare,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-31
commoner (np),other,relevant,3329,2019,4,10,low,tags,lifestyle,informative,no_video_type_1,other,crowd,happy,action,6 AM - 9 AM,2019-10-23
other,text only (to),loud,1797,2019,4,10,low,tags,rare,rare,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-27
other,text only (to),relevant,7036,2019,4,10,low,tags,government,explainers,no_video_type_1,text only (to),crowd,anger,action,6 PM - 9 PM,2019-10-23
crowd,text only (to),relevant,7676,2019,4,10,low,tags,rare,rare,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-20
other,text only (to),relevant,4414,2019,4,10,low,tags,government,explainers,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 PM - 12 AM,2019-10-20
famous personality (fp),voice over (vo),no music,52090,2019,4,10,high,tags,politics,rare,no_video_type_1,rare,famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-31
famous personality (fp),voice over (vo),relevant,31664,2019,4,12,low,tags,politics,rare,no_video_type_1,rare,object,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-12-15
famous personality (fp),text only (to),loud,2486,2019,4,10,low,tags,sports & games,rare,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,12 PM - 03 PM,2019-10-27
crowd,text only (to),relevant,6383,2019,4,10,low,tags,rare,informative,no_video_type_1,text only (to),crowd,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-21
other,text only (to),loud,14343,2019,4,10,low,tags,lifestyle,rare,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-19
famous personality (fp),text only (to),relevant,2947,2019,4,10,low,tags,sports & games,rare,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-18
commoner (np),text only (to),relevant,5850,2019,4,10,low,tags,environment/ecosystem,rare,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-26
other,text only (to),relevant,4998,2019,4,10,low,tags,government,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-22
other,text only (to),relevant,6205,2019,4,10,low,no_tags,technology & innovations,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-19
other,text only (to),relevant,9245,2019,4,10,low,tags,technology & innovations,rare,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-28
commoner (np),text only (to),relevant,7462,2019,4,10,low,tags,technology & innovations,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-10-18
commoner (np),common voice (optv),relevant,4824,2019,4,10,low,tags,sports & games,inspiring,no_video_type_1,common voice (optv),commoner,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-18
commoner (np),text only (to),relevant,12143,2019,4,10,low,tags,sports & games,rare,rare,text only (to),commoner,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-10-20
other,text only (to),relevant,2331,2019,4,10,low,tags,environment/ecosystem,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-18
famous personality (fp),text only (to),relevant,4698,2019,4,10,low,tags,rare,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,9 PM - 12 AM,2019-10-17
other,voice over (vo),low,26809,2019,4,10,low,tags,lifestyle,explainers,no_video_type_1,rare,famous personality,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-22
other,text only (to),loud,5356,2019,4,10,low,tags,rare,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-10-13
famous personality (fp),voice of famous personality (fpv),relevant,1857,2019,4,10,low,tags,politics,rare,no_video_type_1,voice of famous personality (fpv),famous personality,rare,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-19
famous personality (fp),text only (to),loud,1769,2019,4,10,low,tags,politics,rare,no_video_type_1,text only (to),famous personality,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-18
crowd,text only (to),relevant,13381,2019,4,10,low,tags,lifestyle,informative,no_video_type_1,text only (to),crowd,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-21
other,text only (to),relevant,87039,2019,4,11,high,tags,places,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-11-19
famous personality (fp),text only (to),relevant,4457,2019,4,10,low,not_editable,politics,informative,no_video_type_1,text only (to),famous personality,rare,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-18
famous personality (fp),text only (to),relevant,2038,2019,4,10,low,tags,politics,informative,no_video_type_1,text only (to),famous personality,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-17
famous personality (fp),common voice (optv),relevant,7484,2019,4,10,low,tags,lifestyle,informative,no_video_type_1,common voice (optv),commoner,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-29
other,text only (to),relevant,3571,2019,4,10,low,tags,technology & innovations,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-16
other,text only (to),relevant,14658,2019,4,10,low,tags,rare,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-19
other,text only (to),relevant,108138,2019,4,10,high,tags,rare,emotions,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-29
other,voice over (vo),relevant,18425,2019,4,10,low,not_editable,lifestyle,informative,no_video_type_1,rare,famous personality,happy,action,6 AM - 9 AM,2019-10-26
other,voice over (vo),relevant,2630,2019,4,10,low,tags,lifestyle,rare,no_video_type_1,rare,famous personality,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-27
famous personality (fp),text only (to),relevant,1503,2019,4,10,low,tags,politics,informative,no_video_type_1,text only (to),famous personality,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-16
famous personality (fp),text only (to),relevant,3851,2019,4,10,low,tags,politics,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-17
famous personality (fp),text only (to),loud,4513,2019,4,10,low,tags,global news,rare,inspiring,text only (to),famous personality,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-16
other,text only (to),no music,18357,2019,4,10,low,tags,environment/ecosystem,informative,no_video_type_1,text only (to),rare,anger,rare,12 PM - 03 PM,2019-10-28
other,text only (to),relevant,17728,2019,4,10,low,tags,judiciary & crime,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-15
commoner (np),text only (to),relevant,1418,2019,4,10,low,tags,lifestyle,inspiring,informative,text only (to),commoner,rare,no_thumbnail_sentiment,12 PM - 03 PM,2019-10-26
commoner (np),text only (to),relevant,6599,2019,4,10,low,tags,lifestyle,informative,no_video_type_1,text only (to),commoner,happy,rare,3 PM - 6 PM,2019-10-17
commoner (np),text only (to),relevant,261140,2019,4,10,high,tags,lifestyle,inspiring,informative,text only (to),commoner,happy,rare,12 PM - 03 PM,2019-10-16
commoner (np),common voice (optv),neutral,12640,2019,4,10,low,tags,global news,rare,rare,common voice (optv),rare,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-15
other,text only (to),relevant,14961,2019,4,10,low,tags,global news,rare,informative,text only (to),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-16
commoner (np),text only (to),relevant,5763,2019,4,10,low,tags,environment/ecosystem,emotions,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-20
other,text only (to),relevant,3131,2019,4,10,low,tags,rare,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-10-15
other,text only (to),neutral,6835,2019,4,10,low,tags,government,emotions,informative,text only (to),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-14
commoner (np),common voice (optv),relevant,26086,2019,4,10,low,tags,entertainment,emotions,no_video_type_1,common voice (optv),commoner,happy,no_thumbnail_sentiment,12 PM - 03 PM,2019-10-19
famous personality (fp),voice of famous personality (fpv),relevant,18765,2019,4,10,low,tags,sports & games,day-specific,rare,voice of famous personality (fpv),famous personality,rare,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-20
famous personality (fp),text only (to),loud,22994,2019,4,10,low,tags,sports & games,day-specific,rare,text only (to),famous personality,rare,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-17
crowd,text only (to),relevant,5149,2019,4,10,low,tags,rare,emotions,inspiring,text only (to),crowd,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-27
famous personality (fp),text only (to),relevant,9215,2019,4,10,low,tags,rare,rare,inspiring,text only (to),famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-28
famous personality (fp),voice of famous personality (fpv),relevant,2927,2019,4,10,low,tags,sports & games,informative,no_video_type_1,voice of famous personality (fpv),famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-20
famous personality (fp),text only (to),relevant,2215,2019,4,10,low,tags,politics,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,12 PM - 03 PM,2019-10-14
commoner (np),text only (to),loud,5604,2019,4,10,low,tags,global news,rare,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-12
famous personality (fp),text only (to),loud,9103,2019,4,10,low,tags,politics,informative,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-12
crowd,text only (to),loud,3562,2019,4,10,low,tags,politics,rare,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-16
famous personality (fp),text only (to),relevant,7148,2019,4,10,low,tags,politics,rare,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-15
famous personality (fp),text only (to),relevant,4682,2019,4,10,low,tags,politics,rare,no_video_type_1,text only (to),famous personality,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-14
famous personality (fp),text only (to),low,2688,2019,4,10,low,tags,politics,rare,no_video_type_1,text only (to),famous personality,rare,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-15
commoner (np),voice over (vo),relevant,49599,2019,4,10,high,tags,lifestyle,explainers,no_video_type_1,rare,famous personality,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-12
famous personality (fp),voice over (vo),relevant,22558,2019,4,10,low,not_editable,lifestyle,explainers,no_video_type_1,rare,famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-19
famous personality (fp),voice of famous personality (fpv),neutral,2590,2019,4,10,low,tags,rare,informative,no_video_type_1,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-12
famous personality (fp),voice of famous personality (fpv),no music,3553,2019,4,10,low,tags,sports & games,explainers,no_video_type_1,voice of famous personality (fpv),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-11
other,text only (to),loud,2857,2019,4,10,low,tags,politics,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-13
other,text only (to),relevant,3715,2019,4,10,low,tags,government,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-13
famous personality (fp),text only (to),relevant,1803,2019,4,10,low,tags,sports & games,rare,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-13
famous personality (fp),text only (to),relevant,3228,2019,4,10,low,tags,politics,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-11
famous personality (fp),text only (to),relevant,2580,2019,4,10,low,tags,politics,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-12
famous personality (fp),text only (to),loud,6446,2019,4,10,low,tags,politics,informative,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-11
commoner (np),text only (to),loud,8959,2019,4,10,low,tags,rare,emotions,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-10
famous personality (fp),text only (to),relevant,8616,2019,4,10,low,tags,sports & games,rare,inspiring,text only (to),famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-15
famous personality (fp),text only (to),low,3544,2019,4,10,low,tags,global news,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,9 PM - 12 AM,2019-10-10
commoner (np),text only (to),relevant,13612,2019,4,11,low,tags,technology & innovations,informative,no_video_type_1,text only (to),crowd,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-11-20
crowd,text only (to),relevant,8560,2019,4,10,low,tags,rare,informative,no_video_type_1,text only (to),crowd,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-10-17
famous personality (fp),voice of famous personality (fpv),relevant,1831,2019,4,10,low,tags,sports & games,informative,no_video_type_1,voice of famous personality (fpv),commoner,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-10
commoner (np),text only (to),relevant,3712,2019,4,10,low,tags,government,informative,no_video_type_1,text only (to),crowd,anger,no_thumbnail_sentiment,9 PM - 12 AM,2019-10-09
other,other,relevant,6179,2019,4,10,low,tags,lifestyle,rare,informative,other,famous personality,action,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-13
other,text only (to),relevant,14550,2019,4,10,low,tags,environment/ecosystem,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-09
other,text only (to),relevant,6121,2019,4,10,low,tags,environment/ecosystem,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-10
commoner (np),common voice (optv),relevant,1752,2019,4,11,low,tags,rare,inspiring,no_video_type_1,common voice (optv),commoner,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-11-10
crowd,text only (to),relevant,15822,2019,4,11,low,tags,lifestyle,inspiring,no_video_type_1,text only (to),crowd,rare,no_thumbnail_sentiment,9 AM - 12 PM,2019-11-17
commoner (np),text only (to),relevant,6119,2019,4,10,low,tags,lifestyle,inspiring,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,12 PM - 03 PM,2019-10-29
famous personality (fp),text only (to),relevant,3385,2019,4,10,low,tags,sports & games,rare,inspiring,text only (to),famous personality,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-14
crowd,text only (to),loud,9253,2019,4,10,low,tags,government,informative,no_video_type_1,text only (to),famous personality,rare,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-09
commoner (np),text only (to),relevant,6443,2019,4,10,low,tags,places,informative,no_video_type_1,text only (to),commoner,rare,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-07
famous personality (fp),text only (to),relevant,1063,2019,4,10,low,tags,sports & games,rare,informative,text only (to),famous personality,action,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-08
famous personality (fp),text only (to),relevant,16222,2019,4,10,low,tags,lifestyle,day-specific,rare,text only (to),famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-09
crowd,text only (to),relevant,8830,2019,4,10,low,tags,lifestyle,rare,no_video_type_1,text only (to),crowd,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-08
commoner (np),text only (to),relevant,14030,2019,4,10,low,tags,lifestyle,day-specific,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-29
other,text only (to),low,10561,2019,4,10,low,tags,global news,informative,rare,text only (to),famous personality,anger,no_thumbnail_sentiment,9 PM - 12 AM,2019-10-07
famous personality (fp),text only (to),no music,6452,2019,4,10,low,tags,technology & innovations,emotions,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-06
other,text only (to),relevant,3730,2019,4,10,low,tags,global news,rare,no_video_type_1,text only (to),crowd,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-05
other,text only (to),neutral,2630,2019,4,10,low,tags,technology & innovations,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-08
commoner (np),common voice (optv),relevant,6053,2019,4,10,low,tags,rare,rare,no_video_type_1,common voice (optv),commoner,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-06
other,text only (to),relevant,5307,2019,4,10,low,tags,technology & innovations,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-05
other,text only (to),relevant,2366,2019,4,10,low,tags,government,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-04
commoner (np),text only (to),relevant,14249,2019,4,10,low,tags,rare,emotions,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-05
other,text only (to),relevant,1428,2019,4,10,low,tags,lifestyle,rare,no_video_type_1,text only (to),crowd,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-26
commoner (np),text only (to),relevant,4951,2019,4,10,low,tags,rare,inspiring,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-13
crowd,text only (to),relevant,892,2019,4,10,low,tags,sports & games,informative,no_video_type_1,text only (to),crowd,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-03
commoner (np),text only (to),relevant,3176,2019,4,10,low,tags,global news,day-specific,explainers,text only (to),crowd,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-11
other,voice over (vo),relevant,4741,2019,4,10,low,tags,rare,inspiring,no_video_type_1,rare,object,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-08
crowd,text only (to),relevant,8928,2019,4,10,low,tags,rare,inspiring,no_video_type_1,text only (to),crowd,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-14
crowd,text only (to),relevant,14055,2019,4,10,low,tags,rare,emotions,rare,text only (to),crowd,rare,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-20
crowd,text only (to),loud,6828,2019,4,10,low,tags,environment/ecosystem,informative,no_video_type_1,text only (to),commoner,rare,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-03
commoner (np),text only (to),relevant,14129,2019,4,11,low,tags,lifestyle,emotions,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,9 PM - 12 AM,2019-11-27
crowd,text only (to),relevant,9607,2019,4,11,low,tags,rare,rare,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-11-21
other,text only (to),relevant,5409,2019,4,10,low,tags,environment/ecosystem,day-specific,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-04
famous personality (fp),text only (to),relevant,6479,2019,4,10,low,tags,places,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,12 PM - 03 PM,2019-10-02
famous personality (fp),voice of famous personality (fpv),relevant,1590,2019,4,10,low,tags,global news,informative,no_video_type_1,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-01
other,text only (to),relevant,2170,2019,4,10,low,tags,rare,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-10-03
other,text only (to),relevant,3498,2019,4,11,low,tags,places,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-11-03
crowd,text only (to),neutral,10273,2019,4,11,low,tags,lifestyle,rare,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-11-04
commoner (np),common voice (optv),relevant,6703,2019,3,9,low,tags,global news,rare,no_video_type_1,common voice (optv),commoner,neutral,no_thumbnail_sentiment,9 PM - 12 AM,2019-09-30
famous personality (fp),voice over (vo),relevant,12993,2019,4,10,low,tags,politics,day-specific,rare,rare,famous personality,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-02
other,voice over (vo),relevant,5571,2019,4,10,low,tags,technology & innovations,informative,no_video_type_1,rare,object,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-30
commoner (np),text only (to),relevant,15862,2019,4,10,low,tags,lifestyle,inspiring,informative,text only (to),commoner,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-10-02
other,voice over (vo),low,4313,2019,4,11,low,tags,lifestyle,explainers,no_video_type_1,rare,object,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-11-04
famous personality (fp),text only (to),relevant,3641,2019,4,10,low,tags,politics,rare,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-10-08
famous personality (fp),text only (to),relevant,3717,2019,4,10,low,tags,politics,rare,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-11
famous personality (fp),text only (to),relevant,10126,2019,4,10,low,tags,sports & games,day-specific,rare,text only (to),famous personality,rare,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-07
crowd,common voice (optv),no music,15727,2019,4,10,low,tags,entertainment,day-specific,rare,common voice (optv),crowd,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-10-06
commoner (np),common voice (optv),no music,10214,2019,4,11,low,tags,global news,rare,no_video_type_1,common voice (optv),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-11-10
