visual_first_3_seconds,voice_first_3_seconds,background_music_type_first_3_seconds,seven_day_views,year,quarter,month,target,last_day_tags,Primary_Category_1_grouped,Video_Type_1_1_final,Video_Type_1_2_final,voice_first_3_seconds_grouped,thumbnail_1_grouped,thumbnail_sentiment_1_grouped,thumbnail_sentiment_2_grouped,time_distribution,date
other,text only (to),relevant,2927,2019,2,6,low,no_tags,environment/ecosystem,emotions,informative,text only (to),rare,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-26
other,text only (to),relevant,4541,2019,2,6,low,no_tags,rare,emotions,informative,text only (to),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-30
commoner (np),text only (to),relevant,10403,2019,3,7,low,no_tags,rare,emotions,rare,text only (to),commoner,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-07-01
other,text only (to),relevant,4704,2019,4,10,low,no_tags,government,rare,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-10-28
commoner (np),text only (to),relevant,14912,2019,2,6,low,tags,rare,informative,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-26
commoner (np),text only (to),relevant,10154,2019,2,6,low,no_tags,environment/ecosystem,inspiring,informative,text only (to),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-30
commoner (np),common voice (optv),relevant,2294,2019,3,8,low,no_tags,technology & innovations,inspiring,informative,common voice (optv),commoner,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-08-10
commoner (np),text only (to),low,3174,2019,2,6,low,no_tags,sports & games,informative,rare,text only (to),commoner,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-26
famous personality (fp),voice of famous personality (fpv),low,10089,2019,2,6,low,no_tags,entertainment,day-specific,rare,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-27
famous personality (fp),voice of famous personality (fpv),no music,11651,2019,2,6,low,no_tags,politics,rare,rare,voice of famous personality (fpv),famous personality,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-26
famous personality (fp),text only (to),relevant,12901,2019,2,6,low,no_tags,rare,day-specific,rare,text only (to),famous personality,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-27
commoner (np),text only (to),relevant,13827,2019,2,6,low,no_tags,lifestyle,emotions,informative,text only (to),rare,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-28
other,voice over (vo),low,48957,2019,3,7,high,tags,places,informative,no_video_type_1,rare,famous personality,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-07-18
commoner (np),common voice (optv),relevant,2144,2019,2,6,low,not_editable,technology & innovations,inspiring,informative,common voice (optv),object,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-26
famous personality (fp),common voice (optv),no music,57055,2019,2,6,high,no_tags,sports & games,rare,informative,common voice (optv),famous personality,happy,no_thumbnail_sentiment,9 PM - 12 AM,2019-06-25
famous personality (fp),voice of famous personality (fpv),low,8043,2019,2,6,low,not_editable,politics,rare,no_video_type_1,voice of famous personality (fpv),famous personality,anger,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-25
commoner (np),text only (to),relevant,4264,2019,2,6,low,no_tags,rare,emotions,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-30
commoner (np),text only (to),relevant,3915,2019,2,6,low,no_tags,government,informative,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,9 AM - 12 PM,2019-06-26
